"","p-value"
"0.319",0.48556
"0.32",0.48556
"0.321",0.48342
"0.322",0.48128
"0.323",0.47807
"0.324",0.47594
"0.325",0.4738
"0.326",0.47059
"0.327",0.46631
"0.328",0.46417
"0.329",0.45989
"0.33",0.45882
"0.331",0.45882
"0.332",0.45882
"0.333",0.45561
"0.334",0.45455
"0.335",0.45455
"0.336",0.45348
"0.337",0.45348
"0.338",0.45241
"0.339",0.45134
"0.34",0.45134
"0.341",0.45134
"0.342",0.45027
"0.343",0.44813
"0.344",0.44706
"0.345",0.44492
"0.346",0.44492
"0.347",0.44385
"0.348",0.43957
"0.349",0.43743
"0.35",0.43743
"0.351",0.43743
"0.352",0.43636
"0.353",0.43422
"0.354",0.43422
"0.355",0.43209
"0.356",0.43102
"0.357",0.43102
"0.358",0.42888
"0.359",0.42888
"0.36",0.42674
"0.361",0.42353
"0.362",0.42353
"0.363",0.42246
"0.364",0.42032
"0.365",0.41711
"0.366",0.41497
"0.367",0.41497
"0.368",0.41497
"0.369",0.4139
"0.37",0.4107
"0.371",0.40963
"0.372",0.40963
"0.373",0.40963
"0.374",0.40856
"0.375",0.40749
"0.376",0.40535
"0.377",0.40428
"0.378",0.40321
"0.379",0.40214
"0.38",0.40214
"0.381",0.40214
"0.382",0.4
"0.383",0.4
"0.384",0.39893
"0.385",0.39893
"0.386",0.39786
"0.387",0.39786
"0.388",0.39786
"0.389",0.39572
"0.39",0.39572
"0.391",0.39572
"0.392",0.39465
"0.393",0.39465
"0.394",0.39465
"0.395",0.39465
"0.396",0.39251
"0.397",0.39144
"0.398",0.39144
"0.399",0.39037
"0.4",0.39037
"0.401",0.38824
"0.402",0.38717
"0.403",0.3861
"0.404",0.38396
"0.405",0.38396
"0.406",0.38396
"0.407",0.38396
"0.408",0.38396
"0.409",0.38396
"0.41",0.38289
"0.411",0.38182
"0.412",0.38182
"0.413",0.38182
"0.414",0.38182
"0.415",0.38075
"0.416",0.38075
"0.417",0.37968
"0.418",0.37861
"0.419",0.37861
"0.42",0.37861
"0.421",0.37861
"0.422",0.37754
"0.423",0.37647
"0.424",0.3754
"0.425",0.3754
"0.426",0.37433
"0.427",0.37433
"0.428",0.37219
"0.429",0.37219
"0.43",0.37219
"0.431",0.37219
"0.432",0.37005
"0.433",0.37005
"0.434",0.37005
"0.435",0.36898
"0.436",0.36898
"0.437",0.36684
"0.438",0.36684
"0.439",0.36684
"0.44",0.36578
"0.441",0.36578
"0.442",0.36578
"0.443",0.36471
"0.444",0.36471
"0.445",0.36364
"0.446",0.36257
"0.447",0.3615
"0.448",0.3615
"0.449",0.36043
"0.45",0.35936
"0.451",0.35722
"0.452",0.35615
"0.453",0.35615
"0.454",0.35508
"0.455",0.35294
"0.456",0.35187
"0.457",0.3508
"0.458",0.3508
"0.459",0.3508
"0.46",0.3508
"0.461",0.3508
"0.462",0.3508
"0.463",0.34973
"0.464",0.34866
"0.465",0.34866
"0.466",0.34866
"0.467",0.34866
"0.468",0.34866
"0.469",0.34652
"0.47",0.34652
"0.471",0.34439
"0.472",0.34439
"0.473",0.34332
"0.474",0.34332
"0.475",0.34225
"0.476",0.34118
"0.477",0.33904
"0.478",0.33904
"0.479",0.33904
"0.48",0.33797
"0.481",0.3369
"0.482",0.33583
"0.483",0.33476
"0.484",0.33476
"0.485",0.33369
"0.486",0.33369
"0.487",0.33369
"0.488",0.33369
"0.489",0.33369
"0.49",0.33262
"0.491",0.33262
"0.492",0.33155
"0.493",0.33155
"0.494",0.33048
"0.495",0.33048
"0.496",0.32834
"0.497",0.32834
"0.498",0.32834
"0.499",0.32834
"0.5",0.3262
"0.501",0.3262
"0.502",0.3262
"0.503",0.3262
"0.504",0.3262
"0.505",0.3262
"0.506",0.3262
"0.507",0.32513
"0.508",0.32513
"0.509",0.32406
"0.51",0.32406
"0.511",0.32193
"0.512",0.32193
"0.513",0.32086
"0.514",0.32086
"0.515",0.32086
"0.516",0.32086
"0.517",0.31872
"0.518",0.31765
"0.519",0.31658
"0.52",0.31658
"0.521",0.31551
"0.522",0.31337
"0.523",0.31016
"0.524",0.31016
"0.525",0.31016
"0.526",0.31016
"0.527",0.31016
"0.528",0.30909
"0.529",0.30588
"0.53",0.30588
"0.531",0.30481
"0.532",0.30374
"0.533",0.30374
"0.534",0.30374
"0.535",0.30374
"0.536",0.30267
"0.537",0.3016
"0.538",0.3016
"0.539",0.30053
"0.54",0.30053
"0.541",0.29947
"0.542",0.29947
"0.543",0.2984
"0.544",0.29733
"0.545",0.29733
"0.546",0.29733
"0.547",0.29626
"0.548",0.29519
"0.549",0.29412
"0.55",0.29412
"0.551",0.29412
"0.552",0.29305
"0.553",0.29305
"0.554",0.29305
"0.555",0.29305
"0.556",0.29198
"0.557",0.29091
"0.558",0.28984
"0.559",0.28877
"0.56",0.28877
"0.561",0.28556
"0.562",0.28556
"0.563",0.28449
"0.564",0.28235
"0.565",0.28128
"0.566",0.28021
"0.567",0.28021
"0.568",0.28021
"0.569",0.27914
"0.57",0.27914
"0.571",0.27807
"0.572",0.27807
"0.573",0.27807
"0.574",0.27807
"0.575",0.27807
"0.576",0.27807
"0.577",0.27701
"0.578",0.27594
"0.579",0.27594
"0.58",0.27594
"0.581",0.27594
"0.582",0.27487
"0.583",0.27487
"0.584",0.27487
"0.585",0.27487
"0.586",0.2738
"0.587",0.2738
"0.588",0.27166
"0.589",0.27166
"0.59",0.27166
"0.591",0.27166
"0.592",0.27166
"0.593",0.27166
"0.594",0.26952
"0.595",0.26738
"0.596",0.26738
"0.597",0.26738
"0.598",0.26524
"0.599",0.26417
"0.6",0.26417
"0.601",0.2631
"0.602",0.2631
"0.603",0.2631
"0.604",0.2631
"0.605",0.2631
"0.606",0.26096
"0.607",0.25989
"0.608",0.25882
"0.609",0.25882
"0.61",0.25668
"0.611",0.25668
"0.612",0.25455
"0.613",0.25348
"0.614",0.25348
"0.615",0.25241
"0.616",0.25241
"0.617",0.25241
"0.618",0.25134
"0.619",0.25134
"0.62",0.2492
"0.621",0.2492
"0.622",0.2492
"0.623",0.2492
"0.624",0.2492
"0.625",0.24813
"0.626",0.24813
"0.627",0.24813
"0.628",0.24492
"0.629",0.24492
"0.63",0.24278
"0.631",0.24278
"0.632",0.24171
"0.633",0.24171
"0.634",0.23957
