"","p-value"
"0.32",0.46719
"0.321",0.46563
"0.322",0.46449
"0.323",0.46324
"0.324",0.46168
"0.325",0.46075
"0.326",0.4595
"0.327",0.45826
"0.328",0.45722
"0.329",0.45649
"0.33",0.45535
"0.331",0.454
"0.332",0.45254
"0.333",0.45171
"0.334",0.45067
"0.335",0.44964
"0.336",0.4486
"0.337",0.44746
"0.338",0.44652
"0.339",0.44569
"0.34",0.44455
"0.341",0.44341
"0.342",0.44206
"0.343",0.44102
"0.344",0.43977
"0.345",0.43884
"0.346",0.43769
"0.347",0.43624
"0.348",0.43458
"0.349",0.43313
"0.35",0.43209
"0.351",0.43157
"0.352",0.4298
"0.353",0.42804
"0.354",0.4269
"0.355",0.42627
"0.356",0.42544
"0.357",0.42368
"0.358",0.42212
"0.359",0.42118
"0.36",0.41983
"0.361",0.41817
"0.362",0.41724
"0.363",0.41651
"0.364",0.41526
"0.365",0.41371
"0.366",0.41173
"0.367",0.41049
"0.368",0.40987
"0.369",0.40862
"0.37",0.40737
"0.371",0.40696
"0.372",0.40592
"0.373",0.40478
"0.374",0.40384
"0.375",0.40208
"0.376",0.40073
"0.377",0.39917
"0.378",0.3973
"0.379",0.39637
"0.38",0.3946
"0.381",0.39346
"0.382",0.392
"0.383",0.39128
"0.384",0.39003
"0.385",0.38899
"0.386",0.38775
"0.387",0.38702
"0.388",0.38567
"0.389",0.38463
"0.39",0.38297
"0.391",0.38131
"0.392",0.37985
"0.393",0.37861
"0.394",0.37767
"0.395",0.37684
"0.396",0.3756
"0.397",0.37445
"0.398",0.37362
"0.399",0.37227
"0.4",0.37082
"0.401",0.3702
"0.402",0.36906
"0.403",0.36781
"0.404",0.3675
"0.405",0.36656
"0.406",0.36563
"0.407",0.36459
"0.408",0.36355
"0.409",0.36179
"0.41",0.36054
"0.411",0.3594
"0.412",0.35888
"0.413",0.35836
"0.414",0.35763
"0.415",0.35732
"0.416",0.35659
"0.417",0.35566
"0.418",0.35431
"0.419",0.35286
"0.42",0.35213
"0.421",0.35088
"0.422",0.34995
"0.423",0.3487
"0.424",0.34746
"0.425",0.34569
"0.426",0.34486
"0.427",0.34434
"0.428",0.34361
"0.429",0.34278
"0.43",0.34133
"0.431",0.34008
"0.432",0.33915
"0.433",0.33842
"0.434",0.33749
"0.435",0.33634
"0.436",0.33562
"0.437",0.33458
"0.438",0.33406
"0.439",0.33281
"0.44",0.33198
"0.441",0.33126
"0.442",0.33043
"0.443",0.32949
"0.444",0.32866
"0.445",0.32835
"0.446",0.32741
"0.447",0.32669
"0.448",0.32523
"0.449",0.32461
"0.45",0.32399
"0.451",0.32336
"0.452",0.32274
"0.453",0.32201
"0.454",0.32139
"0.455",0.32035
"0.456",0.31921
"0.457",0.31838
"0.458",0.31765
"0.459",0.31651
"0.46",0.31526
"0.461",0.31454
"0.462",0.31423
"0.463",0.3134
"0.464",0.31236
"0.465",0.31142
"0.466",0.3108
"0.467",0.30997
"0.468",0.30914
"0.469",0.30862
"0.47",0.308
"0.471",0.30696
"0.472",0.30665
"0.473",0.30571
"0.474",0.30498
"0.475",0.30467
"0.476",0.30353
"0.477",0.30301
"0.478",0.30208
"0.479",0.30125
"0.48",0.30031
"0.481",0.29958
"0.482",0.29844
"0.483",0.29782
"0.484",0.29688
"0.485",0.29605
"0.486",0.29553
"0.487",0.29491
"0.488",0.29418
"0.489",0.29346
"0.49",0.29221
"0.491",0.2918
"0.492",0.29086
"0.493",0.29003
"0.494",0.28941
"0.495",0.28889
"0.496",0.28785
"0.497",0.28723
"0.498",0.28629
"0.499",0.28557
"0.5",0.28442
"0.501",0.2839
"0.502",0.28276
"0.503",0.28204
"0.504",0.2812
"0.505",0.28037
"0.506",0.27954
"0.507",0.27861
"0.508",0.27778
"0.509",0.27726
"0.51",0.27612
"0.511",0.27529
"0.512",0.27477
"0.513",0.27404
"0.514",0.2729
"0.515",0.27227
"0.516",0.27186
"0.517",0.27155
"0.518",0.27092
"0.519",0.2704
"0.52",0.26947
"0.521",0.26854
"0.522",0.26812
"0.523",0.26739
"0.524",0.26636
"0.525",0.26563
"0.526",0.26469
"0.527",0.26386
"0.528",0.26355
"0.529",0.26231
"0.53",0.26168
"0.531",0.26096
"0.532",0.26054
"0.533",0.25992
"0.534",0.25909
"0.535",0.25846
"0.536",0.25805
"0.537",0.25784
"0.538",0.25742
"0.539",0.2568
"0.54",0.25639
"0.541",0.25607
"0.542",0.25514
"0.543",0.25472
"0.544",0.25431
"0.545",0.25348
"0.546",0.25265
"0.547",0.25244
"0.548",0.25202
"0.549",0.2514
"0.55",0.25119
"0.551",0.25088
"0.552",0.25047
"0.553",0.25016
"0.554",0.24984
"0.555",0.2486
"0.556",0.24798
"0.557",0.24714
"0.558",0.24611
"0.559",0.24579
"0.56",0.24507
"0.561",0.24465
"0.562",0.24382
"0.563",0.24341
"0.564",0.24289
"0.565",0.24258
"0.566",0.24226
"0.567",0.24174
"0.568",0.24123
"0.569",0.24071
"0.57",0.24008
"0.571",0.23967
"0.572",0.23936
"0.573",0.23904
"0.574",0.23863
"0.575",0.23821
"0.576",0.23769
"0.577",0.23718
"0.578",0.23676
"0.579",0.23583
"0.58",0.23541
"0.581",0.23499
"0.582",0.23458
"0.583",0.23385
"0.584",0.23302
"0.585",0.23281
"0.586",0.23261
"0.587",0.23188
"0.588",0.23157
"0.589",0.23126
"0.59",0.23063
"0.591",0.23032
"0.592",0.2297
"0.593",0.2296
"0.594",0.22949
"0.595",0.22876
"0.596",0.22814
"0.597",0.22783
"0.598",0.22721
"0.599",0.22679
"0.6",0.22627
"0.601",0.22586
"0.602",0.22544
"0.603",0.22482
"0.604",0.22451
"0.605",0.2244
"0.606",0.22399
"0.607",0.22357
"0.608",0.22295
"0.609",0.22243
"0.61",0.22191
"0.611",0.2217
"0.612",0.2215
"0.613",0.22118
"0.614",0.22077
"0.615",0.22025
"0.616",0.21983
"0.617",0.21931
"0.618",0.21869
"0.619",0.21848
"0.62",0.21807
"0.621",0.21745
"0.622",0.21672
"0.623",0.2162
"0.624",0.21568
"0.625",0.21558
"0.626",0.21516
"0.627",0.21402
"0.628",0.2136
"0.629",0.21319
"0.63",0.21236
"0.631",0.21184
"0.632",0.21142
"0.633",0.21111
"0.634",0.21038
"0.635",0.21007
"0.636",0.20966
"0.637",0.20903
"0.638",0.20831
"0.639",0.20789
"0.64",0.20768
"0.641",0.20696
"0.642",0.20644
"0.643",0.20582
"0.644",0.2054
"0.645",0.20498
"0.646",0.20426
"0.647",0.20312
"0.648",0.2026
"0.649",0.20197
"0.65",0.20125
"0.651",0.20062
"0.652",0.20062
"0.653",0.2
"0.654",0.19969
"0.655",0.19917
