"","p-value"
"0.32",0.3964
"0.321",0.39554
"0.322",0.39467
"0.323",0.39358
"0.324",0.39315
"0.325",0.39228
"0.326",0.39055
"0.327",0.39012
"0.328",0.38968
"0.329",0.38882
"0.33",0.3873
"0.331",0.38687
"0.332",0.38513
"0.333",0.3834
"0.334",0.3821
"0.335",0.38145
"0.336",0.38058
"0.337",0.37928
"0.338",0.37776
"0.339",0.3769
"0.34",0.37625
"0.341",0.3756
"0.342",0.3743
"0.343",0.373
"0.344",0.37235
"0.345",0.37104
"0.346",0.37039
"0.347",0.36931
"0.348",0.36866
"0.349",0.36736
"0.35",0.36649
"0.351",0.36519
"0.352",0.36454
"0.353",0.36324
"0.354",0.36216
"0.355",0.36064
"0.356",0.35934
"0.357",0.35869
"0.358",0.35761
"0.359",0.35609
"0.36",0.35522
"0.361",0.35327
"0.362",0.35219
"0.363",0.35176
"0.364",0.35111
"0.365",0.35024
"0.366",0.34894
"0.367",0.34829
"0.368",0.34807
"0.369",0.34699
"0.37",0.34612
"0.371",0.34547
"0.372",0.3446
"0.373",0.3433
"0.374",0.34244
"0.375",0.342
"0.376",0.3407
"0.377",0.33984
"0.378",0.3394
"0.379",0.33853
"0.38",0.33767
"0.381",0.33723
"0.382",0.33615
"0.383",0.33507
"0.384",0.33442
"0.385",0.33312
"0.386",0.33203
"0.387",0.33095
"0.388",0.3303
"0.389",0.3303
"0.39",0.32922
"0.391",0.32835
"0.392",0.32726
"0.393",0.3264
"0.394",0.32553
"0.395",0.32531
"0.396",0.32445
"0.397",0.32358
"0.398",0.32271
"0.399",0.32206
"0.4",0.32141
"0.401",0.3212
"0.402",0.32076
"0.403",0.32011
"0.404",0.31925
"0.405",0.31881
"0.406",0.31816
"0.407",0.31795
"0.408",0.31773
"0.409",0.31708
"0.41",0.31643
"0.411",0.31448
"0.412",0.31361
"0.413",0.31274
"0.414",0.31101
"0.415",0.31014
"0.416",0.30949
"0.417",0.30819
"0.418",0.30754
"0.419",0.30668
"0.42",0.30624
"0.421",0.30603
"0.422",0.30516
"0.423",0.30472
"0.424",0.30321
"0.425",0.30191
"0.426",0.30147
"0.427",0.30039
"0.428",0.29974
"0.429",0.29952
"0.43",0.29822
"0.431",0.29801
"0.432",0.29757
"0.433",0.29714
"0.434",0.29692
"0.435",0.29606
"0.436",0.29541
"0.437",0.29476
"0.438",0.29389
"0.439",0.29345
"0.44",0.2928
"0.441",0.29194
"0.442",0.29107
"0.443",0.28999
"0.444",0.28912
"0.445",0.2889
"0.446",0.28847
"0.447",0.28739
"0.448",0.28717
"0.449",0.28695
"0.45",0.2863
"0.451",0.28479
"0.452",0.28414
"0.453",0.28305
"0.454",0.2824
"0.455",0.28153
"0.456",0.28067
"0.457",0.2798
"0.458",0.27937
"0.459",0.27893
"0.46",0.27807
"0.461",0.27763
"0.462",0.2772
"0.463",0.27655
"0.464",0.27568
"0.465",0.27525
"0.466",0.27417
"0.467",0.27373
"0.468",0.272
"0.469",0.27048
"0.47",0.27026
"0.471",0.26918
"0.472",0.26853
"0.473",0.2681
"0.474",0.26788
"0.475",0.26723
"0.476",0.26636
"0.477",0.26593
"0.478",0.2655
"0.479",0.26506
"0.48",0.26441
"0.481",0.26376
"0.482",0.26355
"0.483",0.2629
"0.484",0.26181
"0.485",0.26073
"0.486",0.25986
"0.487",0.25921
"0.488",0.25813
"0.489",0.25704
"0.49",0.25639
"0.491",0.25509
"0.492",0.25444
"0.493",0.25401
"0.494",0.25336
"0.495",0.25314
"0.496",0.25271
"0.497",0.25184
"0.498",0.25141
"0.499",0.25098
"0.5",0.25076
"0.501",0.25011
"0.502",0.24946
"0.503",0.24859
"0.504",0.24707
"0.505",0.24686
"0.506",0.24664
"0.507",0.24599
"0.508",0.24556
"0.509",0.24469
"0.51",0.24426
"0.511",0.24426
"0.512",0.24361
"0.513",0.24252
"0.514",0.24231
"0.515",0.24122
"0.516",0.24079
"0.517",0.24014
"0.518",0.23949
"0.519",0.23862
"0.52",0.2384
"0.521",0.23797
"0.522",0.23775
"0.523",0.2371
"0.524",0.23667
"0.525",0.23667
"0.526",0.23667
"0.527",0.23645
"0.528",0.23645
"0.529",0.2358
"0.53",0.23559
"0.531",0.23494
"0.532",0.23407
"0.533",0.23364
"0.534",0.2332
"0.535",0.23255
"0.536",0.23255
"0.537",0.23255
"0.538",0.23255
"0.539",0.23212
"0.54",0.23169
"0.541",0.23104
"0.542",0.23039
"0.543",0.22995
"0.544",0.2293
"0.545",0.2293
"0.546",0.22887
"0.547",0.22887
"0.548",0.22822
"0.549",0.22822
"0.55",0.228
"0.551",0.22757
"0.552",0.22735
"0.553",0.22713
"0.554",0.22627
"0.555",0.22562
"0.556",0.2254
"0.557",0.22497
"0.558",0.22432
"0.559",0.22367
"0.56",0.22323
"0.561",0.2228
"0.562",0.22237
"0.563",0.22237
"0.564",0.22128
"0.565",0.22085
"0.566",0.2202
"0.567",0.21977
"0.568",0.21977
"0.569",0.21933
"0.57",0.21912
"0.571",0.21803
"0.572",0.21782
"0.573",0.2176
"0.574",0.21717
"0.575",0.21717
"0.576",0.21695
"0.577",0.21695
"0.578",0.21651
"0.579",0.21651
"0.58",0.2163
"0.581",0.21565
"0.582",0.21543
"0.583",0.21456
"0.584",0.21456
"0.585",0.21435
"0.586",0.21391
"0.587",0.2137
"0.588",0.21348
"0.589",0.21326
"0.59",0.21326
"0.591",0.21305
"0.592",0.2124
"0.593",0.21196
"0.594",0.21131
"0.595",0.2111
"0.596",0.21023
"0.597",0.2098
"0.598",0.20936
"0.599",0.20915
"0.6",0.2085
"0.601",0.20806
"0.602",0.20785
"0.603",0.20741
"0.604",0.2072
"0.605",0.20698
"0.606",0.20698
"0.607",0.20655
"0.608",0.20568
"0.609",0.20459
"0.61",0.20394
"0.611",0.20351
"0.612",0.20329
"0.613",0.20264
"0.614",0.20264
"0.615",0.20243
"0.616",0.20221
"0.617",0.20178
"0.618",0.20156
"0.619",0.20091
"0.62",0.20069
"0.621",0.20069
"0.622",0.20069
"0.623",0.20069
"0.624",0.20026
"0.625",0.19983
"0.626",0.19939
"0.627",0.19939
"0.628",0.19939
"0.629",0.19874
"0.63",0.19831
"0.631",0.19788
"0.632",0.19788
"0.633",0.19723
"0.634",0.19723
"0.635",0.19701
"0.636",0.19658
"0.637",0.19658
"0.638",0.19614
"0.639",0.19549
"0.64",0.19506
"0.641",0.19506
"0.642",0.19484
"0.643",0.19463
"0.644",0.19441
"0.645",0.19397
"0.646",0.19376
"0.647",0.19376
"0.648",0.19332
"0.649",0.19246
"0.65",0.19202
"0.651",0.19116
"0.652",0.19029
"0.653",0.18964
"0.654",0.18899
"0.655",0.18791
"0.656",0.18747
"0.657",0.18747
"0.658",0.18704
"0.659",0.18661
"0.66",0.18617
"0.661",0.18574
"0.662",0.18509
"0.663",0.18444
"0.664",0.18422
"0.665",0.18336
"0.666",0.18249
"0.667",0.18249
"0.668",0.18205
"0.669",0.18162
"0.67",0.18119
"0.671",0.18054
"0.672",0.18054
"0.673",0.1801
"0.674",0.1801
"0.675",0.1801
"0.676",0.17924
"0.677",0.17902
"0.678",0.17815
"0.679",0.17772
"0.68",0.17729
"0.681",0.17707
"0.682",0.17685
"0.683",0.17685
"0.684",0.17664
"0.685",0.1762
"0.686",0.17599
"0.687",0.17534
"0.688",0.17512
"0.689",0.17447
"0.69",0.17339
"0.691",0.17317
"0.692",0.17274
"0.693",0.1723
"0.694",0.17187
"0.695",0.17165
"0.696",0.17165
"0.697",0.17143
"0.698",0.17143
"0.699",0.17143
"0.7",0.171
"0.701",0.1697
"0.702",0.16883
"0.703",0.16818
"0.704",0.16753
"0.705",0.16667
"0.706",0.16645
"0.707",0.16602
"0.708",0.1645
"0.709",0.16385
"0.71",0.16342
"0.711",0.16255
"0.712",0.1619
"0.713",0.16147
"0.714",0.16038
"0.715",0.15865
"0.716",0.15778
"0.717",0.15691
"0.718",0.15691
"0.719",0.15626
"0.72",0.15561
"0.721",0.15496
"0.722",0.1541
"0.723",0.15366
"0.724",0.15301
"0.725",0.15258
"0.726",0.15193
"0.727",0.15128
"0.728",0.15128
"0.729",0.1502
"0.73",0.14976
"0.731",0.14933
"0.732",0.14803
"0.733",0.14716
"0.734",0.14651
"0.735",0.14586
"0.736",0.14564
"0.737",0.14456
"0.738",0.14434
"0.739",0.14348
"0.74",0.14348
"0.741",0.14283
"0.742",0.14218
"0.743",0.14066
"0.744",0.14001
"0.745",0.13958
"0.746",0.13849
"0.747",0.13806
"0.748",0.13697
"0.749",0.13611
"0.75",0.13589
"0.751",0.13546
"0.752",0.13416
"0.753",0.13329
"0.754",0.13242
"0.755",0.13091
"0.756",0.13047
"0.757",0.12896
"0.758",0.12874
"0.759",0.12852
"0.76",0.12765
"0.761",0.12722
"0.762",0.12679
"0.763",0.12592
"0.764",0.12505
"0.765",0.12484
"0.766",0.12419
"0.767",0.12289
"0.768",0.12267
"0.769",0.12224
"0.77",0.12159
"0.771",0.12094
"0.772",0.1205
"0.773",0.11964
"0.774",0.11964
"0.775",0.11942
"0.776",0.11899
"0.777",0.11812
"0.778",0.11769
"0.779",0.1166
"0.78",0.11552
"0.781",0.11465
"0.782",0.11443
"0.783",0.11378
"0.784",0.11357
"0.785",0.11335
"0.786",0.11183
"0.787",0.11183
"0.788",0.11162
"0.789",0.11075
"0.79",0.10967
"0.791",0.10945
"0.792",0.10923
"0.793",0.10858
"0.794",0.1075
"0.795",0.10642
"0.796",0.10577
"0.797",0.1049
"0.798",0.10446
"0.799",0.10316
"0.8",0.10208
"0.801",0.10143
"0.802",0.10013
"0.803",0.09948
"0.804",0.0984
"0.805",0.09666
"0.806",0.09666
"0.807",0.09601
"0.808",0.09493
"0.809",0.09471
"0.81",0.09406
"0.811",0.09319
"0.812",0.09298
"0.813",0.09211
"0.814",0.09146
"0.815",0.09124
"0.816",0.08994
"0.817",0.08929
"0.818",0.08864
"0.819",0.08756
"0.82",0.08713
"0.821",0.08648
"0.822",0.08583
"0.823",0.08518
"0.824",0.08409
"0.825",0.08322
"0.826",0.08257
"0.827",0.08149
"0.828",0.08106
"0.829",0.07954
"0.83",0.07867
"0.831",0.07716
"0.832",0.07629
"0.833",0.07564
"0.834",0.07456
"0.835",0.07369
"0.836",0.07261
"0.837",0.0713
"0.838",0.07109
"0.839",0.07109
"0.84",0.07022
"0.841",0.06892
"0.842",0.0687
"0.843",0.06784
"0.844",0.06784
"0.845",0.06675
"0.846",0.06632
"0.847",0.06545
"0.848",0.06545
"0.849",0.06524
"0.85",0.0648
"0.851",0.06437
"0.852",0.06372
"0.853",0.06285
"0.854",0.06177
"0.855",0.06068
"0.856",0.05982
"0.857",0.05873
"0.858",0.05852
"0.859",0.05852
"0.86",0.05765
"0.861",0.057
"0.862",0.05678
"0.863",0.05613
"0.864",0.05527
"0.865",0.05483
"0.866",0.05418
"0.867",0.05397
"0.868",0.05353
"0.869",0.05353
"0.87",0.05267
"0.871",0.05202
"0.872",0.05158
"0.873",0.05072
"0.874",0.04985
"0.875",0.04898
"0.876",0.04725
"0.877",0.04725
"0.878",0.04681
"0.879",0.04551
"0.88",0.04465
"0.881",0.04335
"0.882",0.0427
"0.883",0.0414
"0.884",0.04118
"0.885",0.04053
"0.886",0.03988
"0.887",0.03879
"0.888",0.03836
"0.889",0.03771
"0.89",0.03706
"0.891",0.03554
"0.892",0.03533
"0.893",0.03489
"0.894",0.03424
"0.895",0.03403
"0.896",0.03316
"0.897",0.03273
"0.898",0.03229
"0.899",0.03208
"0.9",0.03208
"0.901",0.03186
"0.902",0.03078
"0.903",0.03013
"0.904",0.02948
"0.905",0.02883
"0.906",0.02861
"0.907",0.02839
"0.908",0.02839
"0.909",0.02818
"0.91",0.02818
"0.911",0.02796
"0.912",0.02752
"0.913",0.02687
"0.914",0.02644
"0.915",0.02601
"0.916",0.02557
"0.917",0.02514
"0.918",0.02492
"0.919",0.02449
"0.92",0.02406
"0.921",0.02384
"0.922",0.02362
"0.923",0.02297
"0.924",0.02254
"0.925",0.02189
"0.926",0.02167
"0.927",0.02124
"0.928",0.02102
"0.929",0.02081
"0.93",0.02059
"0.931",0.02016
"0.932",0.01929
"0.933",0.01907
"0.934",0.01864
"0.935",0.01821
"0.936",0.01799
"0.937",0.01756
"0.938",0.01734
"0.939",0.01734
"0.94",0.01691
"0.941",0.01625
"0.942",0.01539
"0.943",0.01495
"0.944",0.01474
"0.945",0.01452
"0.946",0.01365
"0.947",0.01344
"0.948",0.01279
"0.949",0.01279
"0.95",0.01279
"0.951",0.01257
"0.952",0.01257
"0.953",0.01235
"0.954",0.01214
"0.955",0.01192
"0.956",0.01149
"0.957",0.01149
"0.958",0.01149
"0.959",0.01062
"0.96",0.01062
"0.961",0.01062
"0.962",0.01019
"0.963",0.00997
"0.964",0.00954
"0.965",0.0091
"0.966",0.00889
"0.967",0.00845
"0.968",0.00845
"0.969",0.0078
"0.97",0.00759
"0.971",0.00759
"0.972",0.00715
"0.973",0.00694
"0.974",0.0065
"0.975",0.00607
"0.976",0.00585
"0.977",0.00564
"0.978",0.00564
"0.979",0.0052
"0.98",0.00455
"0.981",0.00412
"0.982",0.00412
"0.983",0.0039
"0.984",0.00347
"0.985",0.00347
"0.986",0.00282
"0.987",0.0026
"0.988",0.00238
"0.989",0.00217
"0.99",0.00217
"0.991",0.00217
"0.992",0.00195
"0.993",0.00195
"0.994",0.00173
"0.995",0.00173
"0.996",0.0013
"0.997",0.00087
"0.998",0.00043
"0.999",0.00043
"1",0
